"Title","Price","","","","","","","","","","","","","","","","","",""
"A Light in the Attic","GBP 51.77","","","","","","","","","","","","","","","","","",""
"Tipping the Velvet","GBP 53.74","","","","","","","","","","","","","","","","","",""
"Soumission","GBP 50.10","","","","","","","","","","","","","","","","","",""
"Sharp Objects","GBP 47.82","","","","","","","","","","","","","","","","","",""
"Sapiens: A Brief History of Humankind","GBP 54.23","","","","","","","","","","","","","","","","","",""
"The Requiem Red","GBP 22.65","","","","","","","","","","","","","","","","","",""
"The Dirty Little Secrets of Getting Your Dream Job","GBP 33.34","","","","","","","","","","","","","","","","","",""
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull","GBP 17.93","","","","","","","","","","","","","","","","","",""
"The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics","GBP 22.60","","","","","","","","","","","","","","","","","",""
"The Black Maria","GBP 52.15","","","","","","","","","","","","","","","","","",""
"Starving Hearts (Triangular Trade Trilogy, #1)","GBP 13.99","","","","","","","","","","","","","","","","","",""
"Shakespeare's Sonnets","GBP 20.66","","","","","","","","","","","","","","","","","",""
"Set Me Free","GBP 17.46","","","","","","","","","","","","","","","","","",""
"Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)","GBP 52.29","","","","","","","","","","","","","","","","","",""
"Rip it Up and Start Again","GBP 35.02","","","","","","","","","","","","","","","","","",""
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991","GBP 57.25","","","","","","","","","","","","","","","","","",""
"Olio","GBP 23.88","","","","","","","","","","","","","","","","","",""
"Mesaerion: The Best Science Fiction Stories 1800-1849","GBP 37.59","","","","","","","","","","","","","","","","","",""
"Libertarianism for Beginners","GBP 51.33","","","","","","","","","","","","","","","","","",""
"It's Only the Himalayas","GBP 45.17","","","","","","","","","","","","","","","","","",""
"In Her Wake","GBP 12.84","","","","","","","","","","","","","","","","","",""
"How Music Works","GBP 37.32","","","","","","","","","","","","","","","","","",""
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More","GBP 30.52","","","","","","","","","","","","","","","","","",""
"Chase Me (Paris Nights #2)","GBP 25.27","","","","","","","","","","","","","","","","","",""
"Black Dust","GBP 34.53","","","","","","","","","","","","","","","","","",""
"Birdsong: A Story in Pictures","GBP 54.64","","","","","","","","","","","","","","","","","",""
